Dyke,Craton,Trend,Lat (N),Long (E) ,Age,Error,Method,Author,Journal,Volume,Year,Page,doi,,,,,,,,
D5,Bastar,360,20.752,82.664,1466.4,2.6,U-Pb,Pisarevsky et al.,Lithos,174,2012,125-143,https://doi.org/10.1016/j.lithos.2012.07.015,,,,,,,,
I1535,Dharwar,150,12.476,77.966,2363,6.6,U-Pb,Pivarunas et al,Tectonophys,760,2019,22-Apr,https://doi.org/10.1016/j.tecto.2018.01.024,,,,,,,,
I1510,Dharwar,120,12.171,78.942,527.5,2.6,U-Pb,Pivarunas et al,Tectonophys,760,2019,22-Apr,https://doi.org/10.1016/j.tecto.2018.01.024,,,,,,,,
SKS9,Singhbhum,38,21.389,85.871,2763.7,0.8,Pb-Pb,Kumar et al,PreCam,292,2017,163-174,http://dx.doi.org/10.1016/j.precamres.2017.01.018,,,,,,,,
SKJ12-3,Singhbhum,22,21.401,85.885,2764.4,0.8,Pb-Pb,Kumar et al,PreCam,292,2017,163-174,http://dx.doi.org/10.1016/j.precamres.2017.01.018,,,,,,,,
SKS21-4,Singhbhum,14,21.582,85.971,2763.5,0.8,Pb-Pb,Kumar et al,PreCam,292,2017,163-174,http://dx.doi.org/10.1016/j.precamres.2017.01.018,,,,,,,,
K9-3,Singhbhum,40,21.664,85.874,2763,0.9,Pb-Pb,Kumar et al,PreCam,292,2017,163-174,http://dx.doi.org/10.1016/j.precamres.2017.01.018,,,,,,,,
SkS-13,Singhbhum,26,21.829,85.594,2760,0.6,Pb-Pb,Kumar et al,PreCam,292,2017,163-174,http://dx.doi.org/10.1016/j.precamres.2017.01.018,,,,,,,,
K24,Singhbhum,33,22.225,86.079,2761,1,Pb-Pb,Kumar et al,PreCam,292,2017,163-174,http://dx.doi.org/10.1016/j.precamres.2017.01.018,,,,,,,,
SKS-27,Singhbhum,38,22.563,85.892,2800.2,0.7,Pb-Pb,Kumar et al,PreCam,292,2017,163-174,http://dx.doi.org/10.1016/j.precamres.2017.01.018,,,,,,,,
SKS-34,Singhbhum,63,22.609,86.195,2752,0.9,Pb-Pb,Kumar et al,PreCam,292,2017,163-174,http://dx.doi.org/10.1016/j.precamres.2017.01.018,,,,,,,,
HD-14(A),Dharwar,14,12.767,77.056,2173,43,Sm-Nd,Kumar et al,PreCam,220-221,2012,123-138,http://dx.doi.org/10.1016/j.precamres.2012.08.001,,,,,,,,
HD-19(B),Dharwar,357,12.851,77.069,2190,51,Sm-Nd,Kumar et al,PreCam,220-221,2012,123-138,http://dx.doi.org/10.1016/j.precamres.2012.08.001,,,,,,,,
KP-48-2(V),Dharwar,350,15.777,76.301,2216.6,0.7,Pb-Pb,Nagaraju et al.,PEPI,274,2018,222-231,https://doi.org/10.1016/j.pepi.2017.11.006,,,,,,,,
IB90,Dharwar,17,17.475,78.879,2252.7,0.5,Pb-Pb,Nagaraju et al.,PreCam,317,2018,89-100,https://doi.org/10.1016/j.precamres.2018.08.009,,,,,,,,
MS68,Dharwar,93,16.918,79.433,2206.6,0.9,Pb-Pb,Nagaraju et al.,PreCam,317,2018,89-100,https://doi.org/10.1016/j.precamres.2018.08.009,,,,,,,,
B/29,Bastar,125,20.325,81.184,2365.6,0.9,U-Pb,Liao et al. ,GR,69,2019,193-211,https://doi.org/10.1016/j.gr.2018.12.007,,,,,,,,
P58,Dharwar,115,12.11,79.25,2318,60,Rb-Sr,Dash et al.,PreCam,228,2013,164-176,http://dx.doi.org/10.1016/j.precamres.2013.01.004,,,,,,,,
EDD09-013,Dharwar,75,13.649,78.421,2367,2,U-Pb,Soderlund et al,PreCam,329,2019,26-43,https://doi.org/10.1016/j.precamres.2018.12.017,,,,,,,,
BNB10-021,Dharwar,50,17.503,78.868,2364,4,U-Pb,Soderlund et al,PreCam,329,2019,26-43,https://doi.org/10.1016/j.precamres.2018.12.017,,,,,,,,
BNB10-003B,Dharwar,80,13.589,78.523,2361,3,U-Pb,Soderlund et al,PreCam,329,2019,26-43,https://doi.org/10.1016/j.precamres.2018.12.017,,,,,,,,
BNB10-031,Dharwar,5,16.752,78.043,2257,4,U-Pb,Soderlund et al,PreCam,329,2019,26-43,https://doi.org/10.1016/j.precamres.2018.12.017,,,,,,,,
BNB10-029,Dharwar,7,16.425,78.115,2256,5,U-Pb,Soderlund et al,PreCam,329,2019,26-43,https://doi.org/10.1016/j.precamres.2018.12.017,,,,,,,,
BNB10-024,Dharwar,355,17.772,79.367,2252,9,U-Pb,Soderlund et al,PreCam,329,2019,26-43,https://doi.org/10.1016/j.precamres.2018.12.017,,,,,,,,
BNB10-001B,Dharwar,25,13.6,77.892,2255,1,U-Pb,Soderlund et al,PreCam,329,2019,26-43,https://doi.org/10.1016/j.precamres.2018.12.017,,,,,,,,
BNB10-015A,Dharwar,310,14.887,77.3,2207,6,U-Pb,Soderlund et al,PreCam,329,2019,26-43,https://doi.org/10.1016/j.precamres.2018.12.017,,,,,,,,
BNB10-026,Dharwar,280,17.073,78.477,2215,4,U-Pb,Soderlund et al,PreCam,329,2019,26-43,https://doi.org/10.1016/j.precamres.2018.12.017,,,,,,,,
EDD09-026,Dharwar,290,17.422,78.641,2199,8,U-Pb,Soderlund et al,PreCam,329,2019,26-43,https://doi.org/10.1016/j.precamres.2018.12.017,,,,,,,,
BNB10-020,Dharwar,300,15.425,77.747,2081,2,U-Pb,Soderlund et al,PreCam,329,2019,26-43,https://doi.org/10.1016/j.precamres.2018.12.017,,,,,,,,
EDD09-023,Dharwar,15,17.291,79.088,2081,3,U-Pb,Soderlund et al,PreCam,329,2019,26-43,https://doi.org/10.1016/j.precamres.2018.12.017,,,,,,,,
BNB10-011,Dharwar,320,15.348,77.816,2081,6,U-Pb,Soderlund et al,PreCam,329,2019,26-43,https://doi.org/10.1016/j.precamres.2018.12.017,,,,,,,,
BNB10-030,Dharwar,300,16.216,77.996,1788,12,U-Pb,Soderlund et al,PreCam,329,2019,26-43,https://doi.org/10.1016/j.precamres.2018.12.017,,,,,,,,
JEF99-1,Dharwar,90,12.649,77.497,2365.4,1,U-Pb,French & Heaman,PreCam,183,2010,416-441,https://doi.org/10.1016/j.precamres.2010.05.003,,,,,,,,
JEF99-6,Dharwar,90,14.134,77.601,2365.9,1.5,U-Pb,French & Heaman,PreCam,183,2010,416-441,https://doi.org/10.1016/j.precamres.2010.05.003,,,,,,,,
JEF99-7,Dharwar,90,14.251,77.631,2368.6,1.3,U-Pb,French & Heaman,PreCam,183,2010,416-441,https://doi.org/10.1016/j.precamres.2010.05.003,,,,,,,,
JEF99-11,Dharwar,150,13.488,78.831,2209.3,2.8,U-Pb,French & Heaman,PreCam,183,2010,416-441,https://doi.org/10.1016/j.precamres.2010.05.003,,,,,,,,
JEF00-55,Dharwar,165,13.67,78.43,2220.5,4.9,U-Pb,French & Heaman,PreCam,183,2010,416-441,https://doi.org/10.1016/j.precamres.2010.05.003,,,,,,,,
JEF00-43,Dharwar,90,17.144,79.458,2176.5,3.7,U-Pb,French & Heaman,PreCam,183,2010,416-441,https://doi.org/10.1016/j.precamres.2010.05.003,,,,,,,,
JEF00-1,Dharwar,120,15.325,74.601,2180.8,0.9,U-Pb,French & Heaman,PreCam,183,2010,416-441,https://doi.org/10.1016/j.precamres.2010.05.003,,,,,,,,
KB-2,Dharwar,290,12.01,77.02,2366.7,1,U-Pb,Halls et al,PreCam,153,2007,47-68,http://dx.doi.org/10.1016/j.precamres.2007.01.007,,,,,,,,
I9GS_9,Bundelkhand,330,25.192,80.464,1979.1,7.9,U-Pb,Pradhan et al,PreCam,198-199,2012,51-76,http://dx.doi.org/10.1016/j.precamres.2011.11.011,,,,,,,,
GDM,Bundelkhand,78,25.284,79.851,1112.7,7.4,U-Pb,Pradhan et al,PreCam,198-199,2012,51-76,http://dx.doi.org/10.1016/j.precamres.2011.11.011,,,,,,,,
SKJ-10,Singhbhum,294,21.549,85.822,1766,1,U-Pb,Shankar et al,JAES,157,2018,235-244,http://dx.doi.org/10.1016/j.jseaes.2017.08.026,,,,,,,,
SKJ-15,Singhbhum,294,21.59,86.81,1764.6,0.5,U-Pb,Shankar et al,JAES,157,2018,235-244,http://dx.doi.org/10.1016/j.jseaes.2017.08.026,,,,,,,,
WD-02,Dharwar,330,12.741,77.315,2212.3,0.8,U-Pb,Yadav et al.,JAES,191,2020,104221,https://doi.org/10.1016/j.jseaes.2019.104221,,,,,,,,
WD-17,Dharwar,120,12.738,76.301,2208.1,0.8,U-Pb,Yadav et al.,JAES,191,2020,104221,https://doi.org/10.1016/j.jseaes.2019.104221,,,,,,,,
WD-38,Dharwar,330,15.152,75.585,2212.9,0.4,U-Pb,Yadav et al.,JAES,191,2020,104221,https://doi.org/10.1016/j.jseaes.2019.104221,,,,,,,,
WD-25,Dharwar,320,13.289,75.932,2205.2,1.8,U-Pb,Yadav et al.,JAES,191,2020,104221,https://doi.org/10.1016/j.jseaes.2019.104221,,,,,,,,
WD-39,Dharwar,290,15.132,75.815,1957.3,0.7,U-Pb,Yadav et al.,JAES,191,2020,104221,https://doi.org/10.1016/j.jseaes.2019.104221,,,,,,,,
I9-2,Malani,345,25.844,70.951,752,18,Pb-Pb,Meert et al.,Tectonophys,608,2013,1254-1267,http://dx.doi.org/10.1016/j.tecto.2013.06.019,,,,,,,,
I5143,Dharwar,355,12.703,77.541,1192,10,U-Pb,Pradhan et al,Book,,2008,339-352,Indian Dykes-Narosa Publishing House,,,,,,,,
DK-106,Dharwar,360,16.619,78.973,2081.8,0.7,Pb-Pb,Kumar et al,PreCam,266,2015,490-505,http://dx.doi.org/10.1016/j.precamres.2015.05.039,,,,,,,,
DK-153,Dharwar,7,16.615,79.114,2081.1,0.7,Pb-Pb,Kumar et al,PreCam,266,2015,490-505,http://dx.doi.org/10.1016/j.precamres.2015.05.039,,,,,,,,
TP-1,Dharwar,314,15.423,77.794,2081.8,1.1,Pb-Pb,Kumar et al,PreCam,266,2015,490-505,http://dx.doi.org/10.1016/j.precamres.2015.05.039,,,,,,,,
MSG-14,Dharwar,28,16.831,79.438,2082.8,0.9,Pb-Pb,Kumar et al,PreCam,266,2015,490-505,http://dx.doi.org/10.1016/j.precamres.2015.05.039,,,,,,,,
GD-08,Dharwar,345,14.231,76.354,2215.9,0.3,Pb-Pb,Kumar et al,Chem Geo,372,2014,72-79,http://dx.doi.org/10.1016/j.chemgeo.2014.02.017,,,,,,,,
JG-13,Bundelkhand,Sill,26.267,78.228,2104,23,Sm-Nd,Samam et al,GeolSocSpecPub,463,2017,243-268,https://doi.org/10.1144/SP463.10,,,,,,,,
TKB-6,Bastar,360,20.803,82.675,1450,22,U-Pb,Ratre et al,JAES,39,2010,565-577,http://dx.doi.org/10.1016/j.jseaes.2010.04.022,,,,,,,,
TKB-7,Bastar,10,20.717,82.651,1453,19,U-Pb,Ratre et al,JAES,39,2010,565-577,http://dx.doi.org/10.1016/j.jseaes.2010.04.022,,,,,,,,
TKB-9,Bastar,10,20.783,82.702,1442,30,U-Pb,Ratre et al,JAES,39,2010,565-577,http://dx.doi.org/10.1016/j.jseaes.2010.04.022,,,,,,,,
KTPD-09-07,Singhbhum,28,21.494,86.568,2251,2,Pb-Pb,Srivastava et al.,PreCam,329,2018,17-May,https://doi.org/10.1016/j.precamres.2018.08.001,,,,,,,,
TP-19,Dharwar,77,13.38,79.418,1867.1,1,Pb-Pb,Parashuramulu et al.,Tectonophys,805,2021,228789,https://doi.org/10.1016/j.tecto.2021.228789,,,,,,,,
D-1,Dharwar,,16.168,75.535,1154,4,Ar-Ar,Pillai et al.,J. Earth Sys. Sci.,127,2018,32,https://doi.org/10.1007/s12040-018-0940-5,,,,,,,,
MAJ-1,Bundelkhand,pipe,24.643,80.037,1073.5,13.7,Ar-Ar,Gregory et al.,PreCam,149,2006,65-75,https://doi.org/10.1016/j.precamres.2006.05.005,,,,,,,,
Pipe 8,Dharwar,pipe,14.921,77.278,1115.8,7.9,Ar-Ar,Dongre et al.,GF,11,2020,793-805,https://doi.org/10.1016/j.gsf.2019.07.010,,,,,,,,
WKF-5,Dharwar,330,14.95,77.316,1079,18,U-Pb,Chalapathi-Rao et al,Chem Geo,353,2013,48-64,http://dx.doi.org/10.1016/j.chemgeo.2012.04.023,,,,,,,,
WKF-7,Dharwar,50,14.933,77.375,1125,16,U-Pb,Chalapathi-Rao et al,Chem Geo,353,2013,48-64,http://dx.doi.org/10.1016/j.chemgeo.2012.04.023,,,,,,,,
WKF-13,Dharwar,pipe,14.831,77.683,1117,14,U-Pb,Chalapathi-Rao et al,Chem Geo,353,2013,48-64,http://dx.doi.org/10.1016/j.chemgeo.2012.04.023,,,,,,,,
CC4/2,Dharwar,pipe,14.516,77.633,1120,18,U-Pb,Chalapathi-Rao et al,Chem Geo,353,2013,48-64,http://dx.doi.org/10.1016/j.chemgeo.2012.04.023,,,,,,,,
CC5/1,Dharwar,pipe,14.516,77.633,1128,12,U-Pb,Chalapathi-Rao et al,Chem Geo,353,2013,48-64,http://dx.doi.org/10.1016/j.chemgeo.2012.04.023,,,,,,,,
KL3/2,Dharwar,pipe,14.585,76.97,1109,11,U-Pb,Chalapathi-Rao et al,Chem Geo,353,2013,48-64,http://dx.doi.org/10.1016/j.chemgeo.2012.04.023,,,,,,,,
SK-1,Dharwar,pipe,16.327,77.928,1093,18,U-Pb,Chalapathi-Rao et al,Chem Geo,353,2013,48-64,http://dx.doi.org/10.1016/j.chemgeo.2012.04.023,,,,,,,,
NK-1,Dharwar,pipe,16.767,77.485,1123,17,U-Pb,Chalapathi-Rao et al,Chem Geo,353,2013,48-64,http://dx.doi.org/10.1016/j.chemgeo.2012.04.023,,,,,,,,
NK-2,Dharwar,pipe,16.768,77.485,1141,18,U-Pb,Chalapathi-Rao et al,Chem Geo,353,2013,48-64,http://dx.doi.org/10.1016/j.chemgeo.2012.04.023,,,,,,,,
KK-1,Dharwar,45,16.768,77.668,1125,16,U-Pb,Chalapathi-Rao et al,Chem Geo,353,2013,48-64,http://dx.doi.org/10.1016/j.chemgeo.2012.04.023,,,,,,,,
KK-6,Dharwar,pipe,16.718,77.584,1140,10,U-Pb,Chalapathi-Rao et al,Chem Geo,353,2013,48-64,http://dx.doi.org/10.1016/j.chemgeo.2012.04.023,,,,,,,,
Waj-2,Dharwar,pipe,15.023,77.391,1124.3,4.6,U-Pb,Kumar et al,PreCam,154,2007,192-204,http://doi:10.1016/j.precamres.2006.12.007,,,,,,,,
MK,Dharwar,pipe,14.857,77.32,1113,3,Ar-Ar,Osborne et al.,PreCam,189,2011,91-103,http://dx.doi.org/10.1016/j.precamres.2011.05.004,,,,,,,,
TK,Dharwar,pipe,14.845,77.301,1105,12,Ar-Ar,Osborne et al.,PreCam,189,2011,91-103,http://dx.doi.org/10.1016/j.precamres.2011.05.004,,,,,,,,
TK-1,Dharwar,pipe,14.529,77.308,1086,19,U-Pb,Chalapathi-Rao et al,GR,35,2016,378-389,http://dx.doi.org/10.1016/j.gr.2015.06.006,,,,,,,,
TK-3,Dharwar,pipe,14.529,77.308,1119,2,U-Pb,Chalapathi-Rao et al,GR,35,2016,378-389,http://dx.doi.org/10.1016/j.gr.2015.06.006,,,,,,,,
I10-19,Dharwar,330,13.063,77.008,1847,6,U-Pb,Belica et al.,PreCam,244,2014,100-122,http://dx.doi.org/10.1016/j.precamres.2013.12.005,,,,,,,,
I10-19,Dharwar,330,13.063,77.008,1839,3,U-Pb,Belica et al.,PreCam,244,2014,100-122,http://dx.doi.org/10.1016/j.precamres.2013.12.005,,,,,,,,
BT-6,Bastar,140,19.987,81.313,2365.3,0.54,Pb-Pb,Panda et al.,PreCam,393,2023,,https://doi.org/10.1016/j.precamres.2023.107090,,,,,,,,
BNK-25,Bastar,160,19.609,81.743,1886.5,1.8,Pb-Pb,Panda et al.,PreCam,393,2023,,https://doi.org/10.1016/j.precamres.2023.107090,,,,,,,,
BP-11,Bastar,114,20.036,80.625,2365.7,0.48,Pb-Pb,Panda et al.,PreCam,393,2023,,https://doi.org/10.1016/j.precamres.2023.107090,,,,,,,,
BG-6,Bastar,140,20.257,82.301,2363.9,0.8,Pb-Pb,Panda et al.,PreCam,393,2023,,https://doi.org/10.1016/j.precamres.2023.107090,,,,,,,,
GW19/06,Bundelkhand,sill,26.267,78.225,1733,23,Pb-Pb,Srivastava et al.,PreCam,377,2022,,https://doi.org/10.1016/j.precamres.2022.106696,,,,,,,,
I1939,Bundelkhand,sill,26.268,78.228,1719,7,Pb-Pb,Meert et al.,Gondwana Res,125,2024,29-48,https://doi.org/10.1016/j.gr.2023.08.004,,,,,,,,
MB-17,Dharwar,121,16.258,77.94,1799.1,0.8,Pb-Pb,Parashuramulu et al.,PreCam,395,2023,,https://doi.org/10.1016/j.precamres.2023.107146,,,,,,,,
AJ-01,Bundelkhand,330,24.897,80.027,2001.5,1.3,Pb-Pb,Shankar et al,J. Asian Earth Sci.,246,2023,,https://doi.org/10.1016/j.jseaes.2023.105579,,,,,,,,
AJ-02,Bundelkhand,330,24.902,80.2061,2005,0.8,Pb-Pb,Shankar et al,J. Asian Earth Sci.,246,2023,,https://doi.org/10.1016/j.jseaes.2023.105579,,,,,,,,
AJ-03,Bundelkhand,330,24.896,80.283,2004.5,0.7,Pb-Pb,Shankar et al,J. Asian Earth Sci.,246,2023,,https://doi.org/10.1016/j.jseaes.2023.105579,,,,,,,,
M1,Dharwar,270,12.363,76.6497,820,15,U-Pb,Raghuvanshi et al.,PreCam,399,2023,,https://doi.org/10.1016/j.precamres.2023.107241,,,,,,,,
NB10/15,Bastar,65,20.856,82.246,2251,4,Pb-Pb,Srivastava et al.,PreCam,360,2021,,https://doi.org/10.1016/j.precamres.2021.106232,,,,,,,,
BCD-1,Bastar,303,20.4168,81.081,2380,3,U-Pb,Pandey et al.,PreCam,347,2020,,https://doi.org/10.1016/j.precamres.2020.105853,,,,,,,,
BCD-2,Bastar,303,20.4167,81.08,2367,5,U-Pb,Pandey et al.,PreCam,347,2020,,https://doi.org/10.1016/j.precamres.2020.105853,,,,,,,,
BCD-4,Bastar,301,20.3865,81.078,2364,4,U-Pb,Pandey et al.,PreCam,347,2020,,https://doi.org/10.1016/j.precamres.2020.105853,,,,,,,,
BCD-5,Bastar,298,20.3736,81.0733,2356,8,U-Pb,Pandey et al.,PreCam,347,2020,,https://doi.org/10.1016/j.precamres.2020.105853,,,,,,,,
BCD-6,Bastar,303,20.3483,81.0612,2366,21,U-Pb,Pandey et al.,PreCam,347,2020,,https://doi.org/10.1016/j.precamres.2020.105853,,,,,,,,
KK9/13,Bastar,309,20.438,81.0895,2365,13,U-Pb,Pandey et al.,PreCam,347,2020,,https://doi.org/10.1016/j.precamres.2020.105853,,,,,,,,
KK9/31,Bastar,300,20.178,81.514,2367,3,U-Pb,Pandey et al.,PreCam,347,2020,,https://doi.org/10.1016/j.precamres.2020.105853,,,,,,,,
SR/4,Bastar,45,20.989,82.774,1045,9,Ar-Ar,Chalapathi-Rao et al,Mineralogy & petrology,110,2016,,https://link.springer.com/article/10.1007/s00710-015-0403-5,,,,,,,,
KBH15/14,Bastar,0,20.753,82.372,1056,7,Ar-Ar,Sahu et al,Special Issue Journal of Geological Society of India,1,2013,,https://link.springer.com/chapter/10.1007/978-81-322-1170-9_9,,,,,,,,
DM2/2C,Bastar,0,20.833,82.642,1054,14,Ar-Ar,Sahu et al,Special Issue Journal of Geological Society of India,1,2013,,https://link.springer.com/chapter/10.1007/978-81-322-1170-9_9,,,,,,,,
P46,SGT,90,12.233,79.867,2514,13,Sm-Nd,Pradhan et al.  ,J. Earth Sys. Sci.,133,2024,,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s12040-024-02300-8&casa_token=tdGNW4q8mr0AAAAA:yVkmtze7ZMqojSi69JNrUuTqQlB-CIxJt4mZh-HArKSgwgnARH8IHw-zyzj7H7D34OIyKTpmCrENq_Bv,,,,,,,,
P49,SGT,290,12.186,79.927,2651,95,Sm-Nd,Pradhan et al.  ,J. Earth Sys. Sci.,133,2024,,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s12040-024-02300-8&casa_token=tdGNW4q8mr0AAAAA:yVkmtze7ZMqojSi69JNrUuTqQlB-CIxJt4mZh-HArKSgwgnARH8IHw-zyzj7H7D34OIyKTpmCrENq_Bv,,,,,,,,
I1929,Bundelkhand,330,25.336,78.626,740,21,Pb-Pb,Bristol et al,Geophys. J. Int.,241,2025,,https://academic.oup.com/gji/article/241/1/291/7985764,,,,,,,,
Atri,Bundelkhand,pipe,24.33,79.283,1082,15,Rb-Sr,Masun et al.,Lithos,112,2009,142-154,https://www.sciencedirect.com/science/article/pii/S0024493709002539?via%3Dihub,,,,,,,,"Note: original age 1064 +/-15 recalculated using new Rb-Sr decay constant (Villa et al., 2015)"
Atri,Bundelkhand,pipe,24.33,79.284,1079,6,Rb-Sr,Das et al.,Special Publication Society of Economic Geologists,20,2018,201-222,https://pubs.geoscienceworld.org/segweb/books/edited-volume/2178/chapter-abstract/121933153/The-Bunder-Diamond-Project-India-Geology?redirectedFrom=fulltext,,,,,,,,
MAJ-1,Bundelkhand,pipe,24.643,80.037,1084,32,Rb-Sr,Kumar et al.,Precambrian Research,62,1993,227-237,https://www.sciencedirect.com/science/article/abs/pii/030192689390023U,,,,,,,,
EDD09/04,Dharwar,360,12.498,77.234,2211.7,0.9,Pb-Pb,Srivastava et al.,Internationa Symposium Abstract,,2011,263-266,no link,,,,,,,,
DC08/12,Dharwar,360,13.357,77.048,2215.2,2,U-Pb,Srivastava et al.,Internationa Symposium Abstract,,2011,263-266,no link,,,,,,,,
PJ22/5,Bastar,316,19.89583,80.66167,1944,6,U-Pb,Ashutosh et al.,Lithos,514-515,2025,,https://www.sciencedirect.com/science/article/pii/S0024493725002427#s0130,,,,,,,,
